boksida,kapitel,kalla_pdf,pdf_sida,kallkvalitet,ar_fallback
2,EKOLOGI,Biologi-Stella-kapitel-1,1,extrapolated_right,nej
3,EKOLOGI,Biologi-Stella-kapitel-1,2,extrapolated_right,nej
4,EKOLOGI,Biologi-Stella-kapitel-1,3,extrapolated_right,nej
5,EKOLOGI,Biologi-Stella-kapitel-1,4,extrapolated_right,nej
6,EKOLOGI,Biologi-Stella-kapitel-1,5,extrapolated_right,nej
7,EKOLOGI,Biologi-Stella-kapitel-1,6,extrapolated_right,nej
8,EKOLOGI,Biologi-Stella-kapitel-1,7,extrapolated_right,nej
9,EKOLOGI,Biologi-Stella-kapitel-1,8,extrapolated_right,nej
10,EKOLOGI,Biologi-Stella-kapitel-1,9,extrapolated_right,nej
11,EKOLOGI,Biologi-Stella-kapitel-1,10,anchor,nej
12,EKOLOGI,Biologi-Stella-kapitel-1,11,extrapolated,nej
13,EKOLOGI,Biologi-Stella-kapitel-1,12,anchor,nej
14,EKOLOGI,Biologi-Stella-kapitel-1,13,extrapolated,nej
15,EKOLOGI,Biologi-Stella-kapitel-1,14,extrapolated,nej
16,EKOLOGI,Biologi-Stella-kapitel-1,15,extrapolated,nej
17,EKOLOGI,Biologi-Stella-kapitel-1,16,anchor,nej
18,EKOLOGI,Biologi-Stella-kapitel-1,17,extrapolated,nej
19,EKOLOGI,Biologi-Stella-kapitel-1,18,anchor,nej
20,EKOLOGI,Biologi-Stella-kapitel-1,19,extrapolated,nej
21,EKOLOGI,Biologi-Stella-kapitel-1,20,anchor,nej
22,EKOLOGI,Biologi-Stella-kapitel-1,21,extrapolated,nej
23,EKOLOGI,Biologi-Stella-kapitel-1,22,anchor,nej
24,EKOLOGI,Biologi-Stella-kapitel-1,23,extrapolated,nej
25,EKOLOGI,Biologi-Stella-kapitel-1,24,anchor,nej
26,EKOLOGI,Biologi-Stella-kapitel-1,25,extrapolated,nej
27,EKOLOGI,Biologi-Stella-kapitel-1,26,anchor,nej
28,EKOLOGI,Biologi-Stella-kapitel-1,27,extrapolated,nej
29,EKOLOGI,Biologi-Stella-kapitel-1,28,anchor,nej
30,EKOLOGI,Biologi-Stella-kapitel-1,29,extrapolated,nej
31,EKOLOGI,Biologi-Stella-kapitel-1,30,anchor,nej
32,EKOLOGI,Biologi-Stella-kapitel-1,31,extrapolated,nej
33,EKOLOGI,Biologi-Stella-kapitel-1,32,extrapolated,nej
34,EKOLOGI,Biologi-Stella-kapitel-1,33,extrapolated,nej
35,EKOLOGI,Biologi-Stella-kapitel-1,34,extrapolated,nej
36,EKOLOGI,Biologi-Stella-kapitel-1,35,extrapolated,nej
37,EKOLOGI,Biologi-Stella-kapitel-1,36,extrapolated,nej
38,EKOLOGI,Biologi-Stella-kapitel-1,37,extrapolated,nej
39,EKOLOGI,Biologi-Stella-kapitel-1,38,extrapolated,nej
40,EKOLOGI,Biologi-Stella-kapitel-1,39,extrapolated,nej
41,EKOLOGI,Biologi-Stella-kapitel-1,40,anchor,nej
42,EKOLOGI,Biologi-Stella-kapitel-1,41,extrapolated,nej
43,EKOLOGI,Biologi-Stella-kapitel-1,42,anchor,nej
44,EKOLOGI,Biologi-Stella-kapitel-1,43,extrapolated,nej
45,EKOLOGI,Biologi-Stella-kapitel-1,44,anchor,nej
46,EKOLOGI,Biologi-Stella-kapitel-1,45,extrapolated,nej
47,EKOLOGI,Biologi-Stella-kapitel-1,46,anchor,nej
48,EKOLOGI,Biologi-Stella-kapitel-1,47,extrapolated,nej
49,EKOLOGI,Biologi-Stella-kapitel-1,48,anchor,nej
50,EKOLOGI,Biologi-Stella-kapitel-1,49,extrapolated,nej
51,EKOLOGI,Biologi-Stella-kapitel-1,50,anchor,nej
52,EKOLOGI,Biologi-Stella-kapitel-1,51,extrapolated,nej
53,EKOLOGI,Biologi-Stella-kapitel-1,52,anchor,nej
54,EKOLOGI,Biologi-Stella-kapitel-1,53,extrapolated,nej
55,EKOLOGI,Biologi-Stella-kapitel-1,54,extrapolated,nej
56,EKOLOGI,Biologi-Stella-kapitel-1,55,extrapolated,nej
57,EKOLOGI,Biologi-Stella-kapitel-1,56,extrapolated,nej
58,EKOLOGI,Biologi-Stella-kapitel-1,57,extrapolated,nej
59,EKOLOGI,Biologi-Stella-kapitel-1,58,extrapolated,nej
60,EKOLOGI,Biologi-Stella-kapitel-1,59,extrapolated,nej
61,EKOLOGI,Biologi-Stella-kapitel-1,60,anchor,nej
62,EKOLOGI,Biologi-Stella-kapitel-1,61,extrapolated,nej
63,EKOLOGI,Biologi-Stella-kapitel-1,62,anchor,nej
64,EKOLOGI,Biologi-Stella-kapitel-1,63,extrapolated,nej
65,EKOLOGI,Biologi-Stella-kapitel-1,64,extrapolated,nej
66,EKOLOGI,Biologi-Stella-kapitel-1,65,extrapolated,nej
67,EKOLOGI,Biologi-Stella-kapitel-1,66,extrapolated,nej
68,EKOLOGI,Biologi-Stella-kapitel-1,67,extrapolated,nej
69,EKOLOGI,Biologi-Stella-kapitel-1,68,extrapolated,nej
70,EKOLOGI,Biologi-Stella-kapitel-1,69,extrapolated,nej
71,EKOLOGI,Biologi-Stella-kapitel-1,70,anchor,nej
72,EKOLOGI,Biologi-Stella-kapitel-1,71,extrapolated,nej
73,EKOLOGI,Biologi-Stella-kapitel-1,72,anchor,nej
74,EKOLOGI,Biologi-Stella-kapitel-1,73,extrapolated_left,nej
